Zeit t / ms;Frequenz f / Hz;Spannung U_A1 / V;FFT U / V
0;0;0,039;0,0012140798468114
0,1;0,0762939453125;0,033;0,00126330828023202
0,2;0,152587890625;0,096;0,000586481123256394
0,3;0,2288818359375;-0,003;0,000296463300091731
0,4;0,30517578125;0,069;0,000472028780383583
0,5;0,3814697265625;0,045;0,000615347211472343
0,6;0,457763671875;0,0885;0,000706730508225924
0,7;0,5340576171875;-0,0495;0,000654955704013516
0,8;0,6103515625;0,0615;0,000483916602865832
0,9;0,6866455078125;-0,0705;0,000289770530734787
1;0,762939453125;-0,018;0,000261570691807273
1,1;0,8392333984375;0,0045;0,000315205619172599
1,2;0,91552734375;0,168;0,000353762155089326
1,3;0,9918212890625;0,0135;0,000271523440237399
1,4;1,068115234375;0,057;0,000249864063249016
1,5;1,1444091796875;0,048;0,000301485160540545
1,6;1,220703125;-0,0585;0,000317955599779024
1,7;1,2969970703125;0,066;0,000253106280315676
1,8;1,373291015625;0,1485;0,000237470049806643
1,9;1,4495849609375;0,0315;0,000192904281379702
2;1,52587890625;-0,042;0,00024407702748
2,1;1,6021728515625;0,072;0,000233574603359954
2,2;1,678466796875;0,051;0,000231439123806852
2,3;1,7547607421875;0,0705;0,000156491548125443
2,4;1,8310546875;0,1065;0,000101123044155148
2,5;1,9073486328125;0,123;9,99168060267945E-05
2,6;1,983642578125;-0,0705;0,000192955831729372
2,7;2,0599365234375;0,072;0,000269716924965913
2,8;2,13623046875;0,066;0,000282353791528613
2,9;2,2125244140625;0,036;0,000302127935370427
3;2,288818359375;-0,012;0,000374742146056933
3,1;2,3651123046875;-0,003;0,000508999979732869
3,2;2,44140625;-0,045;0,000497961233613982
3,3;2,5177001953125;-0,126;0,000443367854071703
3,4;2,593994140625;-0,0675;0,000405571000366046
3,5;2,6702880859375;0,159;0,000383118899066136
3,6;2,74658203125;0,2235;0,000364998629295323
3,7;2,8228759765625;0,0555;0,000290229160048182
3,8;2,899169921875;-0,006;0,000229988926307026
3,9;2,9754638671875;-0,0975;0,000209757948425765
4;3,0517578125;-0,033;0,000296581072923707
4,1;3,1280517578125;0,0705;0,000372045029473411
4,2;3,204345703125;0,018;0,000368574996195839
4,3;3,2806396484375;0,0015;0,000282166534680784
4,4;3,35693359375;0,114;0,000196729123254422
4,5;3,4332275390625;0,087;0,000236620415549385
4,6;3,509521484375;0,072;0,000433169997104045
4,7;3,5858154296875;0,078;0,000601676436391154
4,8;3,662109375;-0,0015;0,000537495397522221
4,9;3,7384033203125;0,0105;0,000469165544932075
5;3,814697265625;0,0525;0,000367608714431044
5,1;3,8909912109375;-0,009;0,00039165599173476
5,2;3,96728515625;0,0135;0,000327314565523168
5,3;4,0435791015625;-0,006;0,000282748718418883
5,4;4,119873046875;0,021;0,000426400731910955
5,5;4,1961669921875;0,0465;0,000437527043529919
5,6;4,2724609375;-0,174;0,000571844686292517
5,7;4,3487548828125;-0,078;0,000619085634628883
5,8;4,425048828125;0,0195;0,000578912267365363
5,9;4,5013427734375;-0,0045;0,000603085666836203
6;4,57763671875;0,0525;0,000695234575211621
6,1;4,6539306640625;0,036;0,000875376511585226
6,2;4,730224609375;-0,0465;0,000800503297915019
6,3;4,8065185546875;0,0225;0,000617426839647619
6,4;4,8828125;-0,078;0,000496132219006179
6,5;4,9591064453125;-0,069;0,000466345996864128
6,6;5,035400390625;-0,066;0,000373301959653133
6,7;5,1116943359375;0,072;0,000388591857260749
6,8;5,18798828125;-0,024;0,000414354443720577
6,9;5,2642822265625;0,018;0,000489864991563097
7;5,340576171875;0,0585;0,000503741538893815
7,1;5,4168701171875;0,0765;0,000480099530974905
7,2;5,4931640625;-0,0435;0,000403996814524042
7,3;5,5694580078125;-0,105;0,000362458972303587
7,4;5,645751953125;0;0,000401024746847868
7,5;5,7220458984375;0,051;0,000338663116798245
7,6;5,79833984375;0,0345;0,000412072168932089
7,7;5,8746337890625;0,048;0,000612177141530434
7,8;5,950927734375;0,2205;0,000820178069886782
7,9;6,0272216796875;-0,075;0,000618396717920714
8;6,103515625;-0,0465;0,000436533283106576
8,1;6,1798095703125;-0,1155;0,000329231642728815
8,2;6,256103515625;-0,003;0,000388339593853207
8,3;6,3323974609375;-0,039;0,000419955107165847
8,4;6,40869140625;-0,0255;0,000486421374799924
8,5;6,4849853515625;-0,033;0,000443631914312571
8,6;6,561279296875;0,015;0,000439764975290311
8,7;6,6375732421875;-0,06;0,000434812517795843
8,8;6,7138671875;-0,048;0,000500724639436345
8,9;6,7901611328125;-0,024;0,000439335339770382
9;6,866455078125;0,054;0,000408120251225466
9,1;6,9427490234375;-0,063;0,000477063510538601
9,2;7,01904296875;0,069;0,00050807706110561
9,3;7,0953369140625;0,0045;0,000566366330355251
9,4;7,171630859375;0,0795;0,000598896713364409
9,5;7,2479248046875;-0,141;0,000544609193190295
9,6;7,32421875;0,066;0,000446440771798337
9,7;7,4005126953125;0,0255;0,00038151658011313
9,8;7,476806640625;-0,0375;0,000326516419627369
9,9;7,5531005859375;-0,0585;0,000240062926061413
10;7,62939453125;0,042;0,000194613332110697
10,1;7,7056884765625;0,063;0,00020280796375691
10,2;7,781982421875;0,1485;0,0002520637053685
10,3;7,8582763671875;0,051;0,00039452348529951
10,4;7,9345703125;-0,018;0,00047134905581181
10,5;8,0108642578125;-0,045;0,00049988332590429
10,6;8,087158203125;-0,051;0,000354643384260737
10,7;8,1634521484375;0,114;0,000336175198504973
10,8;8,23974609375;-0,0315;0,000448024370311717
10,9;8,3160400390625;0,0615;0,00102550442391084
11;8,392333984375;-0,069;0,00145449625826007
11,1;8,4686279296875;0,069;0,00138991583411803
11,2;8,544921875;-0,102;0,000806138960857706
11,3;8,6212158203125;0,018;0,000373693038506016
11,4;8,697509765625;-0,087;0,000351318594129122
11,5;8,7738037109375;-0,0285;0,0003591773641132
11,6;8,85009765625;0,1275;0,000541051870975431
11,7;8,9263916015625;0,0705;0,000632905295855489
11,8;9,002685546875;0,0555;0,000727206930811551
11,9;9,0789794921875;0,0285;0,000586927552813095
12;9,1552734375;0,1215;0,000568205053270512
12,1;9,2315673828125;-0,006;0,000560957487043782
12,2;9,307861328125;-0,0975;0,00082315821510364
12,3;9,3841552734375;-0,171;0,000947975921394351
12,4;9,46044921875;0,021;0,000882625994678164
12,5;9,5367431640625;0,1005;0,000587365323093595
12,6;9,613037109375;0,174;0,000350527138191753
12,7;9,6893310546875;0,1035;0,000296589126622772
12,8;9,765625;0,0645;0,000301326227536675
12,9;9,8419189453125;0,087;0,000389553399311588
13;9,918212890625;-0,066;0,000559028289950865
13,1;9,9945068359375;0,0015;0,000644215130724669
13,2;10,07080078125;0,045;0,00069863967345434
13,3;10,1470947265625;0,057;0,000722822399766725
13,4;10,223388671875;0,018;0,000583299039522422
13,5;10,2996826171875;0,042;0,000501815898970527
13,6;10,3759765625;-0,0825;0,00105797402986358
13,7;10,4522705078125;0,108;0,00250689313251521
13,8;10,528564453125;-0,003;0,00319182431344632
13,9;10,6048583984375;-0,0225;0,00260335996798723
14;10,68115234375;-0,0765;0,00137823263948757
14,1;10,7574462890625;-0,006;0,000965110511858749
14,2;10,833740234375;-0,0345;0,00143202074448982
14,3;10,9100341796875;0,1845;0,00181581172927284
14,4;10,986328125;0,093;0,00164979936656932
14,5;11,0626220703125;-0,0795;0,00115699486544563
14,6;11,138916015625;-0,0705;0,000719455734214631
14,7;11,2152099609375;-0,0495;0,000829514181054479
14,8;11,29150390625;0,0735;0,00088318727408429
14,9;11,3677978515625;0,036;0,000882102137077994
15;11,444091796875;0,036;0,000698620066106468
15,1;11,5203857421875;-0,03;0,000546544894277009
15,2;11,5966796875;0,072;0,000386936390569566
15,3;11,6729736328125;-0,0765;0,000189914494909941
15,4;11,749267578125;0,0405;0,000248061992353423
15,5;11,8255615234375;-0,003;0,000403803251865877
15,6;11,90185546875;-0,0645;0,000462329861755399
15,7;11,9781494140625;0,1005;0,000352193004597359
15,8;12,054443359375;0,0705;0,000265019346304645
15,9;12,1307373046875;0,0525;0,000402462949628927
16;12,20703125;0,1665;0,000502188953559073
16,1;12,2833251953125;-0,0015;0,000482634085860069
16,2;12,359619140625;-0,021;0,000550846713975487
16,3;12,4359130859375;-0,1995;0,000812252438464995
16,4;12,51220703125;-0,012;0,0012821154365971
16,5;12,5885009765625;0,027;0,00161443892610634
16,6;12,664794921875;-0,093;0,00149550727698289
16,7;12,7410888671875;-0,087;0,00111220117352049
16,8;12,8173828125;-0,141;0,000646013275203552
16,9;12,8936767578125;0,078;0,000672176419944175
17;12,969970703125;0,117;0,000885323054041798
17,1;13,0462646484375;0,0225;0,000989568904512371
17,2;13,12255859375;-0,135;0,00090413614220181
17,3;13,1988525390625;-0,0675;0,000716483504415444
17,4;13,275146484375;-0,0555;0,000689613446120177
17,5;13,3514404296875;0,126;0,000657532563468311
17,6;13,427734375;-0,1335;0,000511175174655724
17,7;13,5040283203125;-0,1305;0,000556901512588878
17,8;13,580322265625;-0,057;0,000765734472934812
17,9;13,6566162109375;0,045;0,000925297334245896
18;13,73291015625;0,0135;0,000960757356385176
18,1;13,8092041015625;0,0765;0,0008685506749974
