Zeit t / ms;Frequenz f / Hz;Spannung U_A1 / V;FFT U / V
0;0;0,2385;0,000943475062319689
0,1;0,0762939453125;0,0165;0,000965104169987963
0,2;0,152587890625;-0,1905;0,000520858658219448
0,3;0,2288818359375;-0,0645;0,00039183391697272
0,4;0,30517578125;0,141;0,000520653896854586
0,5;0,3814697265625;0,0795;0,000510982276880722
0,6;0,457763671875;-0,0975;0,000444197828529527
0,7;0,5340576171875;-0,156;0,000392181136782382
0,8;0,6103515625;-0,0855;0,000307900544575487
0,9;0,6866455078125;-0,0015;0,000220360044820267
1;0,762939453125;-0,03;0,000271630169631226
1,1;0,8392333984375;-0,045;0,000407691240355968
1,2;0,91552734375;0,009;0,000522256168124354
1,3;0,9918212890625;0,1485;0,000540280585048153
1,4;1,068115234375;-0,165;0,000507839445989085
1,5;1,1444091796875;-0,1545;0,000428214092111398
1,6;1,220703125;0,0075;0,000306502271738757
1,7;1,2969970703125;-0,1665;0,000215523009374093
1,8;1,373291015625;-0,1335;0,000159442799683636
1,9;1,4495849609375;0,0135;0,000167837805836724
2;1,52587890625;-0,1545;0,000135038465518055
2,1;1,6021728515625;-0,2325;0,000186400809713216
2,2;1,678466796875;-0,096;0,000265649246659999
2,3;1,7547607421875;0,0885;0,000279046157826386
2,4;1,8310546875;0,129;0,000353909377089701
2,5;1,9073486328125;0,045;0,000329678710048837
2,6;1,983642578125;0,003;0,000335322283640872
2,7;2,0599365234375;-0,219;0,000257812577857193
2,8;2,13623046875;-0,0945;0,000300530132020152
2,9;2,2125244140625;-0,123;0,000287842370752318
3;2,288818359375;0,0465;0,000355244212145281
3,1;2,3651123046875;-0,09;0,00032537316152107
3,2;2,44140625;0,057;0,00031072594576102
3,3;2,5177001953125;0,1245;0,000223054736711086
3,4;2,593994140625;0,0435;0,000186546627442203
3,5;2,6702880859375;-0,15;0,000193618862399175
3,6;2,74658203125;-0,111;0,000197088538052455
3,7;2,8228759765625;-0,102;0,000206672649746128
3,8;2,899169921875;-0,231;0,000353936337193025
3,9;2,9754638671875;-0,0705;0,000588880677355336
4;3,0517578125;0,0405;0,000782089671321304
4,1;3,1280517578125;0,06;0,000762438588382671
4,2;3,204345703125;0,1245;0,000500792354404032
4,3;3,2806396484375;0,0375;0,000266779191605972
4,4;3,35693359375;-0,0165;0,00022760006755859
4,5;3,4332275390625;-0,012;0,000233231539144569
4,6;3,509521484375;0,099;0,000281602513488415
4,7;3,5858154296875;0,066;0,000265122413625717
4,8;3,662109375;0,033;0,000368276213020341
4,9;3,7384033203125;-0,0525;0,000344508845866131
5;3,814697265625;-0,051;0,000289861326774306
5,1;3,8909912109375;-0,1125;0,000280695397086556
5,2;3,96728515625;-0,0045;0,000320369539911168
5,3;4,0435791015625;0,186;0,000331535209275593
5,4;4,119873046875;0,066;0,000245971375277702
5,5;4,1961669921875;0,0435;0,000294199652760552
5,6;4,2724609375;0,042;0,000342411555819134
5,7;4,3487548828125;0,0405;0,000348786180221389
5,8;4,425048828125;-0,0345;0,000268421001817509
5,9;4,5013427734375;-0,0195;0,000396680961130757
6;4,57763671875;-0,0225;0,000521391537488434
6,1;4,6539306640625;0,018;0,000663255219712207
6,2;4,730224609375;0,06;0,000723757468083278
6,3;4,8065185546875;0,174;0,000778637881650969
6,4;4,8828125;0,0465;0,000720366274273048
6,5;4,9591064453125;-0,0525;0,000607493867840863
6,6;5,035400390625;-0,1665;0,000502115845617057
6,7;5,1116943359375;-0,018;0,000408558803511086
6,8;5,18798828125;-0,063;0,000303746781334067
6,9;5,2642822265625;-0,048;0,000194582357078651
7;5,340576171875;-0,0165;0,000210191246018448
7,1;5,4168701171875;0,0855;0,000253043724674448
7,2;5,4931640625;0,228;0,000276420036817393
7,3;5,5694580078125;0,1425;0,000452503862526988
7,4;5,645751953125;0,021;0,000540403107130733
7,5;5,7220458984375;-0,0885;0,00058882016732506
7,6;5,79833984375;-0,054;0,000484115136799682
7,7;5,8746337890625;-0,1155;0,000389820587572933
7,8;5,950927734375;0,018;0,000428030759594137
7,9;6,0272216796875;0,006;0,000404893783932644
8;6,103515625;-0,102;0,000435855283475974
8,1;6,1798095703125;0,162;0,000448220672669982
8,2;6,256103515625;0,1185;0,000518064506244586
8,3;6,3323974609375;-0,0495;0,000647806365259101
8,4;6,40869140625;-0,1155;0,000600718194020452
8,5;6,4849853515625;-0,0795;0,000546711070364882
8,6;6,561279296875;-0,0285;0,000401907420821422
8,7;6,6375732421875;0,009;0,000350927081358764
8,8;6,7138671875;0,0765;0,000247354351331365
8,9;6,7901611328125;-0,009;0,000357039619606245
9;6,866455078125;0,1425;0,000566339794632754
9,1;6,9427490234375;0,069;0,000621599294718723
9,2;7,01904296875;0,0735;0,000427645059410612
9,3;7,0953369140625;-0,129;0,000246642926942313
9,4;7,171630859375;-0,0705;0,00021912493925903
9,5;7,2479248046875;0,0345;0,000322377605081371
9,6;7,32421875;0,0735;0,000454971179276855
9,7;7,4005126953125;-0,0435;0,000530606247129667
9,8;7,476806640625;-0,0585;0,000429127369187734
9,9;7,5531005859375;-0,1305;0,000390796835134676
10;7,62939453125;0,0165;0,000422969307751991
10,1;7,7056884765625;-0,021;0,000419911600978595
10,2;7,781982421875;-0,012;0,000346092167816725
10,3;7,8582763671875;-0,0045;0,00034852418466477
10,4;7,9345703125;-0,003;0,000397431652667116
10,5;8,0108642578125;0,03;0,000461452618902766
10,6;8,087158203125;-0,0375;0,000443855729899732
10,7;8,1634521484375;-0,117;0,000467350387073522
10,8;8,23974609375;-0,1725;0,000435402435755306
10,9;8,3160400390625;-0,0705;0,000378471299591814
11;8,392333984375;0,0285;0,000346702513275771
11,1;8,4686279296875;0,087;0,000426795716021111
11,2;8,544921875;-0,1035;0,000617272193366934
11,3;8,6212158203125;-0,18;0,000756356476809988
11,4;8,697509765625;-0,1545;0,000824384246544497
11,5;8,7738037109375;-0,1695;0,000694835409281405
11,6;8,85009765625;-0,0825;0,000793219034667563
11,7;8,9263916015625;-0,006;0,00114475286140083
11,8;9,002685546875;-0,0495;0,001545219647596
11,9;9,0789794921875;-0,072;0,00178072083262322
12;9,1552734375;-0,054;0,0016941546969418
12,1;9,2315673828125;0,1305;0,00162720948931868
12,2;9,307861328125;-0,1005;0,00134275857940273
12,3;9,3841552734375;-0,081;0,000984084588170232
12,4;9,46044921875;0,0195;0,000869033553621983
12,5;9,5367431640625;-0,0735;0,00087402667538266
12,6;9,613037109375;-0,066;0,000854917731798024
12,7;9,6893310546875;0,1395;0,000876270629536136
12,8;9,765625;0,0375;0,000844188888585968
12,9;9,8419189453125;-0,147;0,000935008636211245
13;9,918212890625;-0,186;0,000849577819376835
13,1;9,9945068359375;0,0015;0,000698758738502093
13,2;10,07080078125;0,069;0,000474070526609645
13,3;10,1470947265625;0,0345;0,00046138543083487
13,4;10,223388671875;-0,0135;0,000894269581226154
13,5;10,2996826171875;-0,084;0,0011261033172139
13,6;10,3759765625;-0,0555;0,00103151523950459
13,7;10,4522705078125;0,0315;0,00086947489060876
13,8;10,528564453125;-0,1575;0,00137795512303666
13,9;10,6048583984375;-0,1545;0,00186123051031453
14;10,68115234375;0,0285;0,00186078709433853
14,1;10,7574462890625;0,1065;0,00153057169989824
14,2;10,833740234375;0,1545;0,00113141236904281
14,3;10,9100341796875;0,162;0,00113609638897508
14,4;10,986328125;0,015;0,000997336065457705
14,5;11,0626220703125;-0,123;0,000947407174792998
14,6;11,138916015625;0;0,000729918333293474
14,7;11,2152099609375;0,009;0,000664094177692256
14,8;11,29150390625;-0,1185;0,000662348589679386
14,9;11,3677978515625;-0,0285;0,000585648001704797
15;11,444091796875;0,138;0,000500881612659093
15,1;11,5203857421875;0,249;0,000411918860166257
15,2;11,5966796875;0,216;0,000434691554955178
15,3;11,6729736328125;0;0,000495053376187429
15,4;11,749267578125;0,0615;0,000478042085042406
15,5;11,8255615234375;0,03;0,000644982897628909
15,6;11,90185546875;0,0345;0,000732046464859448
15,7;11,9781494140625;-0,108;0,000677754147751491
15,8;12,054443359375;-0,0765;0,000514612792867433
