Zeit t / ms;Frequenz f / Hz;Spannung U_A1 / V;FFT U / V
0;0;0,0285;0,000330252167754201
0,1;0,0762939453125;-0,027;0,000386221461462448
0,2;0,152587890625;-0,015;0,000194267831281801
0,3;0,2288818359375;0,0615;0,00013627685883862
0,4;0,30517578125;0,087;9,83898969241661E-05
0,5;0,3814697265625;0,015;0,000137637753976388
0,6;0,457763671875;-0,003;0,000125328836042313
0,7;0,5340576171875;-0,0765;0,00012610144279531
0,8;0,6103515625;0,054;0,00014542196167966
0,9;0,6866455078125;0,087;0,000197078754643896
1;0,762939453125;0,0885;0,000266692789576926
1,1;0,8392333984375;-0,015;0,00024273925752106
1,2;0,91552734375;0,0555;0,000150767718277827
1,3;0,9918212890625;0,0195;0,00010322195483623
1,4;1,068115234375;0,042;0,000159850440713542
1,5;1,1444091796875;0,0135;0,000262224545837733
1,6;1,220703125;-0,0075;0,000316560240388197
1,7;1,2969970703125;0,09;0,000288563837231501
1,8;1,373291015625;0,0375;0,000213887150030782
1,9;1,4495849609375;-0,0585;0,000170154791639034
2;1,52587890625;-0,027;0,00020030978641477
2,1;1,6021728515625;0,033;0,000294335702578033
2,2;1,678466796875;0,021;0,000300584018848532
2,3;1,7547607421875;0,0345;0,000258700802159764
2,4;1,8310546875;-0,0435;0,000185654099727313
2,5;1,9073486328125;0;0,000167121989821362
2,6;1,983642578125;0,0105;0,000286912819386516
2,7;2,0599365234375;-0,033;0,000478906725214974
2,8;2,13623046875;-0,0165;0,000531469294682053
2,9;2,2125244140625;0,0315;0,000401806151158459
3;2,288818359375;0,0285;0,000190021522025991
3,1;2,3651123046875;0,06;0,000163843070965653
3,2;2,44140625;-0,0435;0,00014577025555428
3,3;2,5177001953125;-0,072;0,000204935589880551
3,4;2,593994140625;0,0375;0,000253930737822749
3,5;2,6702880859375;0,1335;0,000323986809494088
3,6;2,74658203125;0,033;0,000328235958286779
3,7;2,8228759765625;-0,033;0,000241065428014543
3,8;2,899169921875;0,0675;0,000164030189532089
3,9;2,9754638671875;0,114;0,000131768744759147
4;3,0517578125;0,03;0,000211851104335942
4,1;3,1280517578125;0,0615;0,00033005404866453
4,2;3,204345703125;0,063;0,000516463245859485
4,3;3,2806396484375;-0,0015;0,000673180161661518
4,4;3,35693359375;0,057;0,000733546341141813
4,5;3,4332275390625;0,051;0,000667406293618949
4,6;3,509521484375;-0,0465;0,000539764661938952
4,7;3,5858154296875;0,0555;0,000378446256354697
