Zeit t / ms;Frequenz f / Hz;Spannung U_A1 / V;FFT U / V
0;0;-0,399;0,00076430113384413
0,1;0,0762939453125;-0,2265;0,000894665278200734
0,2;0,152587890625;0,03;0,000512989607729045
0,3;0,2288818359375;-0,0495;0,000374848441533285
0,4;0,30517578125;-0,0225;0,000337027517328586
0,5;0,3814697265625;0,327;0,000428566108854903
0,6;0,457763671875;0,4095;0,000573727487593898
0,7;0,5340576171875;0,033;0,000647134336762101
0,8;0,6103515625;0,471;0,000532327364104289
0,9;0,6866455078125;0,1995;0,000367318561921803
1;0,762939453125;-0,0255;0,000242659264119334
1,1;0,8392333984375;0,147;0,00024826765224932
1,2;0,91552734375;-0,1185;0,000287744720247195
1,3;0,9918212890625;0,312;0,000364348945164113
1,4;1,068115234375;0,0045;0,000456169296949609
1,5;1,1444091796875;0,153;0,000537813225383371
1,6;1,220703125;0,1605;0,000532826044954272
1,7;1,2969970703125;0,222;0,000377392218356869
1,8;1,373291015625;-0,2505;0,000225825664564399
1,9;1,4495849609375;-0,234;0,000246655038485016
2;1,52587890625;-0,2295;0,000280173961794928
2,1;1,6021728515625;0,207;0,000252702102877043
2,2;1,678466796875;0,111;0,000206209428536818
2,3;1,7547607421875;-0,5355;0,00026502925965003
2,4;1,8310546875;-0,3585;0,000408792584895196
2,5;1,9073486328125;-0,4095;0,000496195103661756
2,6;1,983642578125;-0,2265;0,000489029380946425
2,7;2,0599365234375;-0,3045;0,000468830284078751
2,8;2,13623046875;-0,0315;0,000508832439904361
2,9;2,2125244140625;0,213;0,000607098478423175
3;2,288818359375;0,3375;0,000697165918050292
3,1;2,3651123046875;0,225;0,000668884111634958
3,2;2,44140625;0,4695;0,000534380051249536
3,3;2,5177001953125;0,4305;0,000544381858580096
3,4;2,593994140625;0,3765;0,000613708061985542
3,5;2,6702880859375;-0,2295;0,000619938249088578
3,6;2,74658203125;-0,618;0,000474774686457237
3,7;2,8228759765625;-0,1515;0,000352296930216733
3,8;2,899169921875;0,1125;0,00036690730352218
3,9;2,9754638671875;0,174;0,000436244769708675
4;3,0517578125;0,396;0,000483938727888722
4,1;3,1280517578125;0,204;0,000551017362751177
4,2;3,204345703125;-0,168;0,000561597434257591
4,3;3,2806396484375;-0,5505;0,000500036169758542
4,4;3,35693359375;-0,2895;0,000374081680745387
4,5;3,4332275390625;-0,345;0,000267548327019171
4,6;3,509521484375;-0,4875;0,000282560574662808
4,7;3,5858154296875;-0,738;0,000272119733445915
4,8;3,662109375;-0,609;0,000294710073223975
4,9;3,7384033203125;-0,0765;0,00031020985337632
5;3,814697265625;-0,1335;0,000409535585125106
5,1;3,8909912109375;-0,084;0,000509287538273909
5,2;3,96728515625;0,0225;0,000444954876241643
5,3;4,0435791015625;0,705;0,000343787560583256
5,4;4,119873046875;0,606;0,000242419593855209
5,5;4,1961669921875;0,804;0,000298140977635634
5,6;4,2724609375;0,3915;0,000372758933390891
5,7;4,3487548828125;0,396;0,000380710676154347
5,8;4,425048828125;0,0855;0,000340923352393673
5,9;4,5013427734375;-0,024;0,000327640146678978
6;4,57763671875;-0,372;0,000434161250581098
6,1;4,6539306640625;-0,2355;0,000513385168806393
6,2;4,730224609375;-0,1095;0,00046931175127946
6,3;4,8065185546875;0,519;0,000348951502779284
6,4;4,8828125;0,6735;0,000342320442686076
6,5;4,9591064453125;0,1515;0,000500795077116978
6,6;5,035400390625;-0,0555;0,000651241999848068
6,7;5,1116943359375;-0,3285;0,000728465959053788
6,8;5,18798828125;-0,444;0,000844185226513213
6,9;5,2642822265625;-0,7545;0,000887802191466611
7;5,340576171875;-0,594;0,000850534421444116
7,1;5,4168701171875;-0,975;0,00072432651985736
7,2;5,4931640625;-0,663;0,000600396551500183
7,3;5,5694580078125;-0,237;0,000442054424022105
7,4;5,645751953125;-0,3;0,000350836139885366
7,5;5,7220458984375;0,2595;0,000417311448261555
7,6;5,79833984375;0,7545;0,000634264744999034
7,7;5,8746337890625;0,666;0,00072983170238488
7,8;5,950927734375;0,7545;0,000753073581172147
7,9;6,0272216796875;1,038;0,000792518129201032
8;6,103515625;0,249;0,000815594795101854
8,1;6,1798095703125;0,273;0,000758476473615391
8,2;6,256103515625;-0,1095;0,000500726809023719
8,3;6,3323974609375;-0,1725;0,000350976109265091
8,4;6,40869140625;-0,0015;0,000228890533360291
8,5;6,4849853515625;0,246;0,000213597078583047
8,6;6,561279296875;0,4335;0,000233616161686894
8,7;6,6375732421875;0,588;0,000384954451046005
8,8;6,7138671875;0,168;0,000607133382554114
8,9;6,7901611328125;-0,1395;0,000679521059708836
9;6,866455078125;-0,6405;0,000545396319489564
9,1;6,9427490234375;0,048;0,000420638436590488
9,2;7,01904296875;-0,5145;0,000264871065736364
9,3;7,0953369140625;-0,777;0,000234878141521624
9,4;7,171630859375;-0,636;0,000149830769453536
9,5;7,2479248046875;-0,51;0,000172401807056453
9,6;7,32421875;-0,6495;0,0001811275918384
9,7;7,4005126953125;-0,033;0,000326631579417848
9,8;7,476806640625;0,0075;0,000518933232870735
9,9;7,5531005859375;0,045;0,000674295911307244
10;7,62939453125;0,2445;0,000618720457311418
10,1;7,7056884765625;0,4725;0,000523802659541154
10,2;7,781982421875;0,39;0,000390127934658153
10,3;7,8582763671875;0,5745;0,000287720661668963
10,4;7,9345703125;0,5475;0,000197885582465434
10,5;8,0108642578125;0,039;0,00019264909498961
10,6;8,087158203125;-0,159;0,000305328291321579
10,7;8,1634521484375;0,4095;0,000478613654491507
10,8;8,23974609375;0,684;0,000876062663857614
10,9;8,3160400390625;0,594;0,00103604035981125
11;8,392333984375;0,7695;0,00118006538974527
11,1;8,4686279296875;0,0225;0,000887713672301754
11,2;8,544921875;0,0285;0,000631216484275282
11,3;8,6212158203125;-0,4005;0,000327017827958622
11,4;8,697509765625;-0,441;0,000223355625101586
11,5;8,7738037109375;-0,627;0,000212591067143528
11,6;8,85009765625;-0,519;0,000230356983692126
11,7;8,9263916015625;-0,345;0,000268939709627867
11,8;9,002685546875;-0,285;0,000420747230668562
11,9;9,0789794921875;0,0585;0,000620146500866534
12;9,1552734375;-0,4395;0,000705317005362661
12,1;9,2315673828125;-0,5535;0,000594330699911995
12,2;9,307861328125;-0,513;0,000429780696318403
12,3;9,3841552734375;-0,423;0,000337729805609048
12,4;9,46044921875;-0,2715;0,000322239724227514
12,5;9,5367431640625;0,042;0,000367218932562261
12,6;9,613037109375;0,3105;0,000387533346575104
12,7;9,6893310546875;0,711;0,000438852127363126
12,8;9,765625;0,681;0,000333533718724702
12,9;9,8419189453125;0,606;0,00028938941529469
13;9,918212890625;0,498;0,000269472193125969
13,1;9,9945068359375;-0,033;0,000296522465454667
13,2;10,07080078125;0,21;0,000301145107521703
13,3;10,1470947265625;0,1575;0,000303196345096486
13,4;10,223388671875;-0,0825;0,000365090209724123
13,5;10,2996826171875;-0,0105;0,000406270914021206
13,6;10,3759765625;-0,102;0,000538405193722111
13,7;10,4522705078125;-0,3465;0,00123947705568416
13,8;10,528564453125;0,4455;0,0022254575008266
13,9;10,6048583984375;0,306;0,00249877326818773
14;10,68115234375;0,069;0,00173603125228208
14,1;10,7574462890625;-0,468;0,000731265470624713
14,2;10,833740234375;-0,5325;0,000382455186526016
14,3;10,9100341796875;-0,408;0,000426401223048316
14,4;10,986328125;-0,558;0,000465472945368203
14,5;11,0626220703125;-0,819;0,000527543409639756
14,6;11,138916015625;-0,546;0,000723742724425783
14,7;11,2152099609375;-0,288;0,00109609726580347
14,8;11,29150390625;0,261;0,00125000066069896
14,9;11,3677978515625;0,204;0,00119632354320378
15;11,444091796875;0,2445;0,000855821863229122
15,1;11,5203857421875;0,1635;0,000666807926189537
15,2;11,5966796875;-0,0615;0,000615825293163084
15,3;11,6729736328125;-0,1275;0,000541794899815284
15,4;11,749267578125;-0,096;0,000452968559532544
15,5;11,8255615234375;-0,036;0,000333190923919618
15,6;11,90185546875;0,609;0,000298467426626393
15,7;11,9781494140625;0,6375;0,000214120831280091
15,8;12,054443359375;0,345;0,00020489355233706
15,9;12,1307373046875;0,4125;0,00024390251397779
16;12,20703125;0,4125;0,000338303148874639
16,1;12,2833251953125;-0,018;0,000332382235259679
16,2;12,359619140625;-0,231;0,00024301062283414
16,3;12,4359130859375;0,033;0,000284429771936106
16,4;12,51220703125;-0,096;0,000430026746599905
16,5;12,5885009765625;-0,2595;0,00122595590107026
16,6;12,664794921875;-0,2775;0,00191788493110552
16,7;12,7410888671875;-0,0915;0,00213409967645929
16,8;12,8173828125;-0,261;0,00159351929735097
16,9;12,8936767578125;-0,1935;0,00084162169929204
17;12,969970703125;-0,0105;0,000465233098676093
17,1;13,0462646484375;-0,2715;0,000500545760533606
17,2;13,12255859375;-0,2745;0,000651694666372428
17,3;13,1988525390625;0,114;0,00073083156268657
17,4;13,275146484375;-0,072;0,000496692144208319
17,5;13,3514404296875;0,1335;0,000348519788270135
17,6;13,427734375;0,0135;0,000236144632190763
17,7;13,5040283203125;0,051;0,00042667677494978
17,8;13,580322265625;0,312;0,000776575667394571
17,9;13,6566162109375;0,255;0,00117220078333274
18;13,73291015625;0,336;0,00126150983058041
18,1;13,8092041015625;0,4545;0,000976702765015807
18,2;13,885498046875;0,2475;0,000758930017511348
18,3;13,9617919921875;0,039;0,00060044107810875
18,4;14,0380859375;-0,159;0,00072038172364248
18,5;14,1143798828125;-0,249;0,000705162587961523
18,6;14,190673828125;-0,099;0,000810813196189327
18,7;14,2669677734375;0,3735;0,000762581504586565
18,8;14,34326171875;0,2505;0,000599703523304733
18,9;14,4195556640625;0,0765;0,000460643691826632
19;14,495849609375;0,2295;0,000439382040734646
19,1;14,5721435546875;0,2235;0,000408422543887354
19,2;14,6484375;-0,537;0,000736709227603769
19,3;14,7247314453125;-0,5895;0,0010821958087487
19,4;14,801025390625;-0,471;0,00126160441505326
19,5;14,8773193359375;-0,483;0,00115338921149973
19,6;14,95361328125;0,0705;0,000972051150612761
19,7;15,0299072265625;0,408;0,000898766523122733
19,8;15,106201171875;0,2715;0,000655386407637999
19,9;15,1824951171875;0,3165;0,000569605099923732
20;15,2587890625;0,192;0,000729115442915395
20,1;15,3350830078125;0,3105;0,000841868011831356
20,2;15,411376953125;-0,096;0,000738018609346377
20,3;15,4876708984375;-0,144;0,000547727123894533
20,4;15,56396484375;-0,111;0,000331475590921886
20,5;15,6402587890625;-0,3;0,000237777806967719
20,6;15,716552734375;0,057;0,000212108527069942
20,7;15,7928466796875;0,2175;0,000213403765963866
20,8;15,869140625;0,255;0,000257951479132364
20,9;15,9454345703125;0,3315;0,00033382001365991
21;16,021728515625;0,114;0,000499052569441347
21,1;16,0980224609375;0,0705;0,000606943164577143
21,2;16,17431640625;-0,2775;0,000703176581057676
21,3;16,2506103515625;-0,369;0,000620354819401025
21,4;16,326904296875;-0,483;0,000667708452767767
21,5;16,4031982421875;-0,372;0,000519998576564527
21,6;16,4794921875;-0,0435;0,000698535971946189
21,7;16,5557861328125;0,1515;0,000788002564615467
21,8;16,632080078125;0,2115;0,000924296997111816
21,9;16,7083740234375;0,1155;0,000802996940581131
22;16,78466796875;0,0555;0,00154452200366302
22,1;16,8609619140625;0,2745;0,00311957211391021
22,2;16,937255859375;-0,204;0,00403277705504195
22,3;17,0135498046875;-0,2235;0,00340727484906547
22,4;17,08984375;-0,477;0,00201994188249035
22,5;17,1661376953125;-0,249;0,00134000548269664
22,6;17,242431640625;0,1485;0,00114941288712723
22,7;17,3187255859375;0,369;0,000808980738851669
22,8;17,39501953125;0,075;0,000503837468034011
22,9;17,4713134765625;0,1815;0,000395548412679936
23;17,547607421875;0,2655;0,000627724769428941
23,1;17,6239013671875;0,0375;0,000745257611663385
23,2;17,7001953125;-0,1125;0,0006139555999841
23,3;17,7764892578125;-0,1095;0,000369171875908194
23,4;17,852783203125;-0,621;0,000364131490521032
23,5;17,9290771484375;-0,4095;0,00062301323149946
23,6;18,00537109375;-0,138;0,000735036709386324
23,7;18,0816650390625;0,078;0,000661739207421769
23,8;18,157958984375;0,0705;0,00065713090847302
23,9;18,2342529296875;0,102;0,000759063654556936
24;18,310546875;0,2385;0,000844270465071228
24,1;18,3868408203125;0,165;0,000679740049752212
24,2;18,463134765625;-0,1605;0,000513187950929939
24,3;18,5394287109375;-0,0405;0,000436949785470407
24,4;18,61572265625;-0,492;0,000438425267007706
24,5;18,6920166015625;-0,3675;0,00051554663095642
24,6;18,768310546875;0,27;0,000640046776412119
24,7;18,8446044921875;0,159;0,00105958641951666
24,8;18,9208984375;0,321;0,00261224724636299
24,9;18,9971923828125;0,354;0,00474328600219857
25;19,073486328125;-0,1545;0,00537619166044668
25,1;19,1497802734375;-0,039;0,00383202211221296
25,2;19,22607421875;0,0225;0,00161817778794868
25,3;19,3023681640625;-0,195;0,000510666413569019
25,4;19,378662109375;-0,0555;0,000468193274152464
25,5;19,4549560546875;-0,4365;0,00030693362385529
25,6;19,53125;-0,1755;0,000441787087942719
25,7;19,6075439453125;-0,012;0,000485335980304137
25,8;19,683837890625;0,141;0,000517559712403364
25,9;19,7601318359375;-0,012;0,000311429440427428
26;19,83642578125;-0,1815;0,000175647869776338
26,1;19,9127197265625;0,3435;0,000164204612436145
26,2;19,989013671875;-0,099;0,000238231694182997
26,3;20,0653076171875;-0,159;0,000613978840794783
26,4;20,1416015625;-0,1425;0,000991030739106671
26,5;20,2178955078125;-0,2745;0,00118577778455614
26,6;20,294189453125;-0,135;0,00104963754058138
26,7;20,3704833984375;-0,15;0,000774730163922726
26,8;20,44677734375;-0,0945;0,000531114874703304
26,9;20,5230712890625;0,345;0,000315580597779838
27;20,599365234375;0,504;0,000325269755649001
27,1;20,6756591796875;0,3345;0,000478516437903858
27,2;20,751953125;0,258;0,000540916393356818
27,3;20,8282470703125;0,1665;0,000454416842550325
27,4;20,904541015625;-0,2115;0,000310934095020012
27,5;20,9808349609375;-0,2295;0,00053288381796663
27,6;21,05712890625;0,033;0,00122151216651591
27,7;21,1334228515625;0,0645;0,00170769490577799
27,8;21,209716796875;0,1455;0,00139615527176943
27,9;21,2860107421875;0,159;0,000738289478753772
28;21,3623046875;0,291;0,000270206371956666
28,1;21,4385986328125;0,1275;0,000502298596398802
28,2;21,514892578125;0,027;0,000746099545077547
28,3;21,5911865234375;0,2295;0,00101132300902333
28,4;21,66748046875;-0,099;0,00124570657522185
28,5;21,7437744140625;-0,1125;0,00136816098574854
28,6;21,820068359375;-0,4215;0,00137220006126355
