Zeit t / ms;Frequenz f / Hz;Spannung U_A1 / V;FFT U / V
0;0;0,084;0,000742053145417032
0,1;0,0762939453125;0,057;0,00084849510467908
0,2;0,152587890625;-0,0015;0,000458796018767412
0,3;0,2288818359375;0,084;0,000222341970038857
0,4;0,30517578125;0,054;0,000141074610448354
0,5;0,3814697265625;0,0645;0,00011923932522302
0,6;0,457763671875;-0,0045;0,000137691003041447
0,7;0,5340576171875;0,0195;0,000179549257554605
0,8;0,6103515625;0,0495;0,000166818266662304
0,9;0,6866455078125;0,069;0,000146647522248532
1;0,762939453125;0,024;0,000181698760748293
1,1;0,8392333984375;-0,015;0,00026592022097052
1,2;0,91552734375;-0,012;0,000267729094178174
1,3;0,9918212890625;0,036;0,000213848335874246
1,4;1,068115234375;0,1065;0,000185013470643187
1,5;1,1444091796875;-0,0345;0,00016831978324809
1,6;1,220703125;-0,042;0,000199414524066124
1,7;1,2969970703125;0,0225;0,000234514661727467
1,8;1,373291015625;0,126;0,000265539022084755
1,9;1,4495849609375;-0,081;0,000236812283366424
2;1,52587890625;-0,0285;0,000195839606736074
2,1;1,6021728515625;-0,0465;0,000289366179252331
2,2;1,678466796875;0,0195;0,000396680970667405
2,3;1,7547607421875;0,033;0,000366267804530817
2,4;1,8310546875;0,0555;0,000236171613751544
2,5;1,9073486328125;0,0735;0,000135549579772604
2,6;1,983642578125;-0,0015;0,000179014273070618
2,7;2,0599365234375;-0,009;0,00028515552037015
2,8;2,13623046875;-0,0345;0,000286717270423426
2,9;2,2125244140625;-0,0945;0,000280649959728125
3;2,288818359375;-0,0915;0,00021477534572341
3,1;2,3651123046875;0,015;0,000281378545314889
3,2;2,44140625;0,0855;0,000389512401262706
3,3;2,5177001953125;0,0135;0,000454887018360041
3,4;2,593994140625;-0,012;0,000379211128886331
3,5;2,6702880859375;0,0435;0,000256251838688583
3,6;2,74658203125;0,015;0,000204452124752129
3,7;2,8228759765625;0,0405;0,000203215655450257
3,8;2,899169921875;0,0285;0,000185605195797407
3,9;2,9754638671875;0,027;0,000126561322601648
4;3,0517578125;-0,033;0,000114462237144901
4,1;3,1280517578125;0,024;0,000117318401172067
4,2;3,204345703125;0,159;0,000135180883432102
4,3;3,2806396484375;0,1515;0,000217611859487789
4,4;3,35693359375;0,0345;0,00033348549189679
4,5;3,4332275390625;0,036;0,000424780269485513
4,6;3,509521484375;0,078;0,000515944032606793
4,7;3,5858154296875;-0,0975;0,000461060624531694
4,8;3,662109375;-0,033;0,000470701126423794
4,9;3,7384033203125;-0,0105;0,000487558944295811
5;3,814697265625;-0,0405;0,000699512219507932
5,1;3,8909912109375;-0,057;0,000940946687182298
5,2;3,96728515625;0,051;0,00101527310761438
5,3;4,0435791015625;0,0165;0,000872476817529188
5,4;4,119873046875;-0,039;0,000620290418418448
5,5;4,1961669921875;-0,003;0,000548275681412497
5,6;4,2724609375;-0,0375;0,00056461165391703
5,7;4,3487548828125;-0,0165;0,000546883349907346
5,8;4,425048828125;0,012;0,000375029881025958
5,9;4,5013427734375;-0,117;0,000265599966032505
6;4,57763671875;-0,18;0,000285049558676471
6,1;4,6539306640625;-0,0795;0,000402260438912945
6,2;4,730224609375;0,072;0,000589279643015948
6,3;4,8065185546875;0,096;0,000744445623323308
6,4;4,8828125;0,138;0,000755009749554604
6,5;4,9591064453125;-0,021;0,000719204176519026
6,6;5,035400390625;-0,0945;0,000589551828480739
6,7;5,1116943359375;0,0675;0,000446368212213569
6,8;5,18798828125;0,036;0,000304285368286759
6,9;5,2642822265625;-0,0825;0,000310808931285992
7;5,340576171875;-0,057;0,000531959354402428
7,1;5,4168701171875;0,0525;0,000689727046668742
7,2;5,4931640625;-0,0315;0,000648062729425196
7,3;5,5694580078125;0,051;0,000477396339546736
7,4;5,645751953125;0,015;0,000329841443406855
7,5;5,7220458984375;-0,0795;0,000249871458919383
7,6;5,79833984375;-0,051;0,000239064424732034
7,7;5,8746337890625;-0,0585;0,000218281093746985
7,8;5,950927734375;-0,0465;0,000256941543362276
7,9;6,0272216796875;-0,0555;0,000277759950137925
8;6,103515625;-0,042;0,000196022423082272
8,1;6,1798095703125;-0,015;0,000238296246559858
8,2;6,256103515625;0,0315;0,000248180219070231
8,3;6,3323974609375;-0,1335;0,000360922866296239
8,4;6,40869140625;-0,132;0,000435522530761021
8,5;6,4849853515625;0,0015;0,000519947116813012
8,6;6,561279296875;0,045;0,000495599644909923
8,7;6,6375732421875;-0,0675;0,000399693793207942
8,8;6,7138671875;-0,111;0,000277004132653376
8,9;6,7901611328125;0,0225;0,000450533996399538
9;6,866455078125;0,0105;0,000521426098300052
9,1;6,9427490234375;0,039;0,000480441403109315
9,2;7,01904296875;0,0945;0,000303713529427358
9,3;7,0953369140625;0,0105;0,000271887561371121
9,4;7,171630859375;-0,0315;0,00029457044716357
9,5;7,2479248046875;0,0705;0,000301924394696483
9,6;7,32421875;0,03;0,00027700428523974
9,7;7,4005126953125;0,054;0,000328599123371559
9,8;7,476806640625;0,0225;0,000369216488346591
9,9;7,5531005859375;0,021;0,000400682848487677
10;7,62939453125;0,054;0,000424954694773731
10,1;7,7056884765625;-0,0375;0,000328489161054129
10,2;7,781982421875;-0,018;0,000207543092968881
10,3;7,8582763671875;0,003;0,000178878647633964
10,4;7,9345703125;0,042;0,000179607710053118
10,5;8,0108642578125;0,0015;0,000179462934202903
10,6;8,087158203125;0,009;0,000128580269086988
10,7;8,1634521484375;-0,021;0,000286894802274664
10,8;8,23974609375;0,012;0,000526782513890254
10,9;8,3160400390625;0,024;0,000842690528630602
11;8,392333984375;0,039;0,00140551717956942
11,1;8,4686279296875;0,021;0,00171706183939137
11,2;8,544921875;0,006;0,00148742575951621
11,3;8,6212158203125;-0,018;0,000780997801441663
11,4;8,697509765625;-0,015;0,000416511929088473
11,5;8,7738037109375;0,144;0,000508598610837012
11,6;8,85009765625;0,1095;0,000528333272956943
11,7;8,9263916015625;-0,024;0,000460719765666113
11,8;9,002685546875;0,0105;0,000474525398483808
11,9;9,0789794921875;0,078;0,000742907180837249
12;9,1552734375;0,126;0,000852882325058585
12,1;9,2315673828125;0,0585;0,000761973190433501
12,2;9,307861328125;0,039;0,000475670816640833
12,3;9,3841552734375;0,135;0,000308981390090274
12,4;9,46044921875;0,0135;0,000316052614162579
12,5;9,5367431640625;0,045;0,000433068388890086
12,6;9,613037109375;-0,012;0,000444774481011904
12,7;9,6893310546875;0,006;0,000629341555476657
12,8;9,765625;-0,0135;0,00101577743415986
12,9;9,8419189453125;0,099;0,00128157814186018
13;9,918212890625;-0,033;0,00109489176676532
13,1;9,9945068359375;-0,024;0,000750322515772035
13,2;10,07080078125;0,0315;0,000612279042996313
13,3;10,1470947265625;0,06;0,000473747230673064
13,4;10,223388671875;0,0435;0,000359386372862574
13,5;10,2996826171875;0,0885;0,000381525738871258
13,6;10,3759765625;0,048;0,000691265832474122
13,7;10,4522705078125;-0,042;0,00136705305615401
13,8;10,528564453125;0,063;0,00235635316071156
13,9;10,6048583984375;0,1455;0,0025926054902659
14;10,68115234375;0,024;0,00190199243179687
14,1;10,7574462890625;0,0015;0,000993593045636926
14,2;10,833740234375;0,0645;0,000563568506770987
14,3;10,9100341796875;0,0525;0,000943179197358417
14,4;10,986328125;0,0795;0,000985402171429946
14,5;11,0626220703125;-0,003;0,000977026066912793
14,6;11,138916015625;-0,0795;0,000651766124474375
14,7;11,2152099609375;0,066;0,000401306011201363
14,8;11,29150390625;-0,021;0,000567603758090227
14,9;11,3677978515625;-0,0495;0,000778588262472478
15;11,444091796875;-0,003;0,000772304279139215
15,1;11,5203857421875;0,027;0,000698065386060617
15,2;11,5966796875;-0,03;0,000649272558101445
15,3;11,6729736328125;-0,0375;0,000871034895455489
15,4;11,749267578125;0,0615;0,00100765538594004
15,5;11,8255615234375;-0,087;0,000895915284774154
15,6;11,90185546875;-0,0945;0,000813647201815335
15,7;11,9781494140625;-0,066;0,000787696876906963
15,8;12,054443359375;-0,0675;0,000734998410208769
15,9;12,1307373046875;-0,114;0,00056470722066461
16;12,20703125;0,018;0,000329522089682057
16,1;12,2833251953125;-0,0255;0,000406767506345322
16,2;12,359619140625;-0,033;0,000551347359374917
16,3;12,4359130859375;-0,015;0,000635768006791368
16,4;12,51220703125;0,069;0,000638402143352834
16,5;12,5885009765625;-0,006;0,000655351856363028
16,6;12,664794921875;-0,0915;0,000902446248212078
16,7;12,7410888671875;-0,117;0,000805826635642335
16,8;12,8173828125;-0,0195;0,000801591753674748
16,9;12,8936767578125;0,051;0,00049041069762337
17;12,969970703125;-0,009;0,000447144042353522
17,1;13,0462646484375;-0,0975;0,000401803232944233
17,2;13,12255859375;0,027;0,000404440974358567
17,3;13,1988525390625;0,0525;0,000481744345230498
17,4;13,275146484375;0,129;0,000551138144395534
17,5;13,3514404296875;-0,066;0,000687500754386987
17,6;13,427734375;-0,108;0,000728642463331226
17,7;13,5040283203125;-0,111;0,000672970279116789
17,8;13,580322265625;-0,0645;0,000783847504389946
17,9;13,6566162109375;0,042;0,000998461447117707
18;13,73291015625;-0,018;0,00108853216735167
18,1;13,8092041015625;-0,0825;0,000882256497259246
18,2;13,885498046875;-0,0855;0,000686013800262388
18,3;13,9617919921875;-0,0075;0,000698526854910894
18,4;14,0380859375;0,0465;0,000913706435292825
18,5;14,1143798828125;-0,0915;0,00102806369778709
18,6;14,190673828125;-0,1395;0,00100282980400787
18,7;14,2669677734375;-0,015;0,000842500825632613
18,8;14,34326171875;0;0,000525898625186188
18,9;14,4195556640625;-0,027;0,000395213362824944
19;14,495849609375;-0,0105;0,000344412708111765
19,1;14,5721435546875;-0,0615;0,000644395030048723
19,2;14,6484375;0,075;0,000761120089604768
19,3;14,7247314453125;0,0825;0,00123557735827671
19,4;14,801025390625;0,027;0,00162001765526168
19,5;14,8773193359375;-0,1005;0,00147542909527265
19,6;14,95361328125;-0,0825;0,00100843761040234
19,7;15,0299072265625;-0,036;0,000443411436552138
19,8;15,106201171875;-0,0285;0,000404780231067318
19,9;15,1824951171875;0,0135;0,000428226747243026
20;15,2587890625;-0,0825;0,000499472000748132
20,1;15,3350830078125;-0,0765;0,000748714799076374
20,2;15,411376953125;0,0285;0,000752261039706497
20,3;15,4876708984375;0,1515;0,000805098646096059
20,4;15,56396484375;0,102;0,000728224147812233
20,5;15,6402587890625;-0,189;0,000846685964445287
20,6;15,716552734375;-0,054;0,000799026834102997
20,7;15,7928466796875;0,0225;0,000739842874703577
20,8;15,869140625;0,0765;0,000464870825267883
20,9;15,9454345703125;-0,0225;0,000393498324271213
21;16,021728515625;-0,198;0,000397243690107349
21,1;16,0980224609375;-0,0615;0,00109299058834363
21,2;16,17431640625;-0,036;0,00150219319187423
21,3;16,2506103515625;-0,141;0,00166635662744935
21,4;16,326904296875;0,0525;0,00140142172339263
21,5;16,4031982421875;-0,252;0,00118908349185551
21,6;16,4794921875;-0,225;0,00120068268769217
21,7;16,5557861328125;0,024;0,00100053025119773
21,8;16,632080078125;0,162;0,000729877173121579
21,9;16,7083740234375;0,021;0,00058055438274963
22;16,78466796875;-0,096;0,00122298820117878
22,1;16,8609619140625;0,0945;0,00327356355113817
22,2;16,937255859375;0,0705;0,00472895860030658
22,3;17,0135498046875;-0,057;0,0041657225792244
22,4;17,08984375;-0,1155;0,00224076300039002
22,5;17,1661376953125;-0,0165;0,000697263020198167
22,6;17,242431640625;0,066;0,000574048386255639
22,7;17,3187255859375;0,351;0,000543012357809772
22,8;17,39501953125;0,042;0,00060814369502179
22,9;17,4713134765625;-0,1065;0,000519860943663513
23;17,547607421875;0,087;0,000528407439466865
23,1;17,6239013671875;0,135;0,000407645993730492
23,2;17,7001953125;0,0645;0,000305088928614345
23,3;17,7764892578125;-0,126;0,000219750588653629
23,4;17,852783203125;-0,0615;0,000322894584374316
23,5;17,9290771484375;-0,102;0,000497043207287043
